feature,importance
bb_position,0.13357481
price_ma200_ratio,0.11533537
return_1d,0.107270196
return_20d,0.102948464
ma_7_21_ratio,0.099525586
return_5d,0.09839641
ma_21_50_ratio,0.08992742
volatility_20d,0.086906455
rsi_14,0.08504854
volatility_60d,0.08106669
