date,predicted,lower_ci,upper_ci
2026-06-10,6803.802486706835,6716.201450004688,6891.403523408982
2026-06-11,6811.730947889729,6690.302805626213,6933.1590901532445
2026-06-12,6808.81374072877,6662.740182729684,6954.887298727856
2026-06-15,6812.541318640954,6646.562571618332,6978.520065663576
2026-06-16,6814.78800437967,6631.880843038631,6997.69516572071
2026-06-17,6815.917234921796,6616.98991167844,7014.844558165152
2026-06-18,6822.769460580509,6609.545681369548,7035.99323979147
2026-06-19,6821.376136484363,6595.157803651953,7047.594469316773
2026-06-22,6824.9756386198915,6586.779534526263,7063.17174271352
2026-06-23,6827.32155842208,6577.962458897735,7076.680657946425
2026-06-24,6827.972406487076,6568.035732625766,7087.909080348386
2026-06-25,6834.459582997867,6564.511232748286,7104.407933247448
2026-06-26,6832.842119153579,6553.360419694353,7112.323818612805
2026-06-29,6836.213128726428,6547.607925762074,7124.8183316907825
2026-06-30,6838.377368205315,6541.00383336467,7135.7509030459605
2026-07-01,6838.860813240805,6532.982672734309,7144.738953747302
2026-07-02,6845.211041081257,6531.10879164302,7159.313290519493
2026-07-03,6843.483219590023,6521.407099285236,7165.559339894809
2026-07-06,6846.761949357358,6516.937022504782,7176.586876209934
2026-07-07,6848.850396874899,6511.48027722297,7186.220516526829
2026-07-08,6849.270858212279,6504.499979895495,7194.041736529062
2026-07-09,6855.569244178637,6503.571778618419,7207.566709738855
2026-07-10,6853.798804728951,6494.735174779637,7212.862434678264
2026-07-13,6857.042391713793,6491.061117508439,7223.023665919148
2026-07-14,6859.101903496032,6486.3407883564805,7231.863018635583
2026-07-15,6859.498516533962,6480.048929199735,7238.94810386819
2026-07-16,6865.777262857915,6479.7630720737725,7251.791453642058
2026-07-17,6863.990651379532,6471.528121699814,7256.453181059251
2026-07-20,6867.220918282678,6468.419547085569,7266.022289479787
2026-07-21,6869.2694603516065,6464.232321894967,7274.306598808246
