date,predicted
2026-06-09,4087.425048828125
2026-06-10,4021.607421875
2026-06-11,4104.4970703125
2026-06-12,4041.237548828125
2026-06-15,4098.83642578125
2026-06-16,4020.46142578125
2026-06-17,4003.364013671875
2026-06-18,4091.2998046875
2026-06-19,4005.804443359375
2026-06-22,4003.364013671875
2026-06-23,4118.232421875
2026-06-24,3975.43017578125
2026-06-25,4024.3310546875
2026-06-26,4029.371826171875
2026-06-29,4083.9580078125
2026-06-30,4011.238037109375
2026-07-01,4121.15380859375
2026-07-02,3975.43017578125
2026-07-03,4024.3310546875
2026-07-06,4029.371826171875
2026-07-07,4083.9580078125
2026-07-08,4011.238037109375
2026-07-09,4121.15380859375
2026-07-10,3975.43017578125
2026-07-13,4024.3310546875
2026-07-14,4029.371826171875
2026-07-15,4083.9580078125
2026-07-16,4011.238037109375
2026-07-17,4121.15380859375
2026-07-20,3975.43017578125
