date,actual,predicted
2024-09-12,5626.02001953125,4260.792
2024-09-13,5633.08984375,3659.5933
2024-09-16,5634.580078125,3637.1562
2024-09-17,5618.259765625,3557.8645
2024-09-18,5713.64013671875,3563.882
2024-09-19,5702.5498046875,3527.193
2024-09-20,5718.56982421875,3219.3176
2024-09-23,5732.93017578125,3215.6594
2024-09-24,5722.259765625,3263.6665
2024-09-25,5745.3701171875,3359.8564
2024-09-26,5738.169921875,3230.0298
2024-09-27,5762.47998046875,3344.4255
2024-09-30,5708.75,3339.0913
2024-10-01,5709.5400390625,3223.351
2024-10-02,5699.93994140625,3256.4067
2024-10-03,5751.06982421875,3205.581
2024-10-04,5695.93994140625,3405.0718
2024-10-07,5751.1298828125,3230.2332
2024-10-08,5792.0400390625,3398.9487
2024-10-09,5780.0498046875,3327.8142
2024-10-10,5815.02978515625,3324.178
2024-10-11,5859.85009765625,3346.5713
2024-10-14,5815.259765625,3533.492
2024-10-15,5842.47021484375,3348.5723
2024-10-16,5841.47021484375,3390.762
2024-10-17,5864.669921875,3924.4246
2024-10-18,5853.97998046875,3952.7097
2024-10-21,5851.2001953125,3909.3918
2024-10-22,5797.419921875,3921.5283
2024-10-23,5809.85986328125,3987.788
2024-10-24,5808.1201171875,4021.1904
2024-10-25,5823.52001953125,4235.2866
2024-10-28,5832.919921875,4280.0776
2024-10-29,5813.669921875,4327.334
2024-10-30,5705.4501953125,4308.9395
2024-10-31,5728.7998046875,4354.684
2024-11-01,5712.68994140625,4461.0454
2024-11-04,5782.759765625,3960.6333
2024-11-05,5929.0400390625,4371.88
2024-11-06,5973.10009765625,4490.097
2024-11-07,5995.5400390625,4217.09
2024-11-08,6001.35009765625,4140.139
2024-11-11,5983.990234375,3996.9219
2024-11-12,5985.3798828125,4060.0312
2024-11-13,5949.169921875,4078.7249
2024-11-14,5870.6201171875,4336.806
2024-11-15,5893.6201171875,4313.081
2024-11-18,5916.97998046875,4434.3936
2024-11-19,5917.10986328125,4334.77
2024-11-20,5948.7099609375,4238.361
2024-11-21,5969.33984375,4274.6543
2024-11-22,5987.3701171875,4238.2544
2024-11-25,6021.6298828125,4234.955
2024-11-26,5998.740234375,4258.217
2024-11-27,6032.3798828125,4238.9697
2024-11-29,6047.14990234375,4430.001
2024-12-02,6049.8798828125,4736.785
2024-12-03,6086.490234375,4600.31
2024-12-04,6075.10986328125,4583.1953
2024-12-05,6090.27001953125,4710.64
2024-12-06,6052.85009765625,4643.8726
2024-12-09,6034.91015625,4400.065
2024-12-10,6084.18994140625,4425.1255
2024-12-11,6051.25,4694.5283
2024-12-12,6051.08984375,4511.7026
2024-12-13,6074.080078125,4477.2446
2024-12-16,6050.60986328125,4478.2007
2024-12-17,5872.16015625,4405.533
2024-12-18,5867.080078125,4306.1367
2024-12-19,5930.85009765625,4350.4297
2024-12-20,5974.06982421875,4530.2373
2024-12-23,6040.0400390625,4369.47
2024-12-24,6037.58984375,4672.7324
2024-12-26,5970.83984375,4573.151
2024-12-27,5906.93994140625,4567.469
2024-12-30,5881.6298828125,4389.3613
2024-12-31,5868.5498046875,4197.556
2025-01-02,5942.47021484375,4210.363
2025-01-03,5975.3798828125,4638.265
2025-01-06,5909.02978515625,4732.347
2025-01-07,5918.25,4064.7249
2025-01-08,5827.0400390625,4112.243
2025-01-10,5836.22021484375,4072.7764
2025-01-13,5842.91015625,3978.7144
2025-01-14,5949.91015625,3743.0574
2025-01-15,5937.33984375,4522.358
2025-01-16,5996.66015625,4297.862
2025-01-17,6049.240234375,4572.9956
2025-01-21,6086.3701171875,4739.5923
2025-01-22,6118.7099609375,4957.5327
2025-01-23,6101.240234375,4779.174
2025-01-24,6012.27978515625,4791.4697
2025-01-27,6067.7001953125,4708.256
2025-01-28,6039.31005859375,4824.898
2025-01-29,6071.169921875,4653.836
2025-01-30,6040.52978515625,4525.1973
2025-01-31,5994.56982421875,4325.2476
2025-02-03,6037.8798828125,4159.936
2025-02-04,6061.47998046875,4294.72
2025-02-05,6083.56982421875,4387.169
2025-02-06,6025.990234375,4460.037
2025-02-07,6066.43994140625,3909.171
2025-02-10,6068.5,4320.526
2025-02-11,6051.97021484375,4338.0757
2025-02-12,6115.06982421875,4315.1934
