date,actual,predicted
2025-12-17,6721.43017578125,6803.802486706835
2025-12-18,6774.759765625,6811.730947889729
2025-12-19,6834.5,6808.81374072877
2025-12-22,6878.490234375,6812.541318640954
2025-12-23,6909.7900390625,6814.78800437967
2025-12-24,6932.0498046875,6815.917234921796
2025-12-26,6929.93994140625,6822.769460580509
2025-12-29,6905.740234375,6821.376136484363
2025-12-30,6896.240234375,6824.9756386198915
2025-12-31,6845.5,6827.32155842208
2026-01-02,6858.47021484375,6827.972406487076
2026-01-05,6902.0498046875,6834.459582997867
2026-01-06,6944.81982421875,6832.842119153579
2026-01-07,6920.93017578125,6836.213128726428
2026-01-08,6921.4599609375,6838.377368205315
2026-01-09,6966.27978515625,6838.860813240805
2026-01-12,6977.27001953125,6845.211041081257
2026-01-13,6963.740234375,6843.483219590023
2026-01-14,6926.60009765625,6846.761949357358
2026-01-15,6944.47021484375,6848.850396874899
2026-01-16,6940.009765625,6849.270858212279
2026-01-20,6796.85986328125,6855.569244178637
2026-01-21,6875.6201171875,6853.798804728951
2026-01-22,6913.35009765625,6857.042391713793
2026-01-23,6915.60986328125,6859.101903496032
2026-01-26,6950.22998046875,6859.498516533962
2026-01-27,6978.60009765625,6865.777262857915
2026-01-28,6978.02978515625,6863.990651379532
2026-01-29,6969.009765625,6867.220918282678
2026-01-30,6939.02978515625,6869.2694603516065
2026-02-02,6976.43994140625,6869.657038575481
2026-02-03,6917.81005859375,6875.928344193864
2026-02-04,6882.72021484375,6874.135604906318
2026-02-05,6798.39990234375,6877.360825130479
2026-02-06,6932.2998046875,6879.405210949951
2026-02-09,6964.81982421875,6879.789366224181
2026-02-10,6941.81005859375,6886.057852830197
2026-02-11,6941.47021484375,6884.26279191197
2026-02-12,6832.759765625,6887.4861001265235
2026-02-13,6836.169921875,6889.528911286602
2026-02-17,6843.22021484375,6889.911769729684
2026-02-18,6881.31005859375,6896.1791883140995
2026-02-19,6861.89013671875,6894.383247813307
2026-02-20,6909.509765625,6897.605831636512
2026-02-23,6837.75,6899.64804621498
2026-02-24,6890.06982421875,6900.03041333574
2026-02-25,6946.1298828125,6906.297427285471
2026-02-26,6908.85986328125,6904.501153542688
2026-02-27,6878.8798828125,6907.723462920252
2026-03-02,6881.6201171875,6909.765451475556
2026-03-03,6816.6298828125,6910.147632452091
2026-03-04,6869.5,6916.414493100399
2026-03-05,6830.7099609375,6914.618093104299
2026-03-06,6740.02001953125,6917.840298504355
2026-03-09,6795.990234375,6919.882201427671
2026-03-10,6781.47998046875,6920.264311880905
2026-03-11,6775.7998046875,6926.53111444886
2026-03-12,6672.6201171875,6924.734666619952
2026-03-13,6632.18994140625,6927.956832626697
2026-03-16,6699.3798828125,6929.998703107154
2026-03-17,6716.08984375,6930.380786841663
2026-03-18,6624.7001953125,6936.647567405077
2026-03-19,6606.490234375,6934.851101454053
2026-03-20,6506.47998046875,6938.073252536099
2026-03-23,6581.0,6940.1151107251335
2026-03-24,6556.3701171875,6940.497184336888
2026-03-25,6591.89990234375,6946.763956563576
2026-03-26,6477.16015625,6944.967483746737
2026-03-27,6368.85009765625,6948.189629174356
2026-03-30,6343.72021484375,6950.231482706616
2026-03-31,6528.52001953125,6950.613552483223
2026-04-01,6575.31982421875,6956.88032155143
2026-04-02,6582.68994140625,6955.083846133384
2026-04-06,6611.830078125,6958.305989418745
2026-04-07,6616.85009765625,6960.347841186722
2026-04-08,6782.81005859375,6960.729909510332
2026-04-09,6824.66015625,6966.996677381903
2026-04-10,6816.89013671875,6965.200200978354
2026-04-13,6886.240234375,6968.422343452091
2026-04-14,6967.3798828125,6970.464194551644
2026-04-15,7022.9501953125,6970.846262324766
2026-04-16,7041.27978515625,6977.113029742976
2026-04-17,7126.06005859375,6975.3165529660555
2026-04-20,7109.14013671875,6978.538695132298
2026-04-21,7064.009765625,6980.58054597861
2026-04-22,7137.89990234375,6980.962613543173
2026-04-23,7108.39990234375,6987.22938078962
2026-04-24,7165.080078125,6985.432903871243
2026-04-27,7173.91015625,6988.655045920987
2026-04-28,7138.7998046875,6990.696896671357
2026-04-29,7135.9501953125,6991.078964156902
2026-04-30,7209.009765625,6997.345731338276
2026-05-01,7230.1201171875,6995.549254366304
2026-05-04,7200.75,6998.771396371912
2026-05-05,7259.22021484375,7000.813247085929
2026-05-06,7365.1201171875,7001.195314541539
2026-05-07,7337.10986328125,7007.462081698258
2026-05-08,7398.93017578125,7005.665604705983
2026-05-11,7412.83984375,7008.887746694868
2026-05-12,7400.9599609375,7010.929597395115
2026-05-13,7444.25,7011.311664839383
2026-05-14,7501.240234375,7017.578431986762
2026-05-15,7408.5,7015.781954986794
2026-05-18,7403.0498046875,7019.004096969343
2026-05-19,7353.60986328125,7021.045947664373
2026-05-20,7432.97021484375,7021.428015104344
2026-05-21,7445.72021484375,7027.694782248185
2026-05-22,7473.47021484375,7025.898305245303
2026-05-26,7519.1201171875,7029.120447225453
2026-05-27,7520.35986328125,7031.162297918507
2026-05-28,7563.6298828125,7031.544365356849
2026-05-29,7580.06005859375,7037.811132499349
2026-06-01,7599.9599609375,7036.014655495362
2026-06-02,7609.77978515625,7039.236797474602
2026-06-03,7553.68017578125,7041.278648166906
2026-06-04,7584.31005859375,7041.660715604633
2026-06-05,7383.740234375,7047.927482746623
2026-06-08,7405.72998046875,7046.13100574222
2026-06-09,7386.64990234375,7049.353147721115
