date,actual_return,predicted_return,actual_price,predicted_price,predicted_price_cumulative
2024-07-23,-0.0090620720744089,2.3214935075343245e-05,17311.05078125,17469.7649250437,17469.7649250437
2024-07-24,-0.016702661707466926,4.222486684333216e-05,17021.91015625,17311.781738064154,17470.50258354144
2024-07-25,-3.522573962000397e-05,0.0003138563807760233,17021.310546875,17027.252591365537,17475.98581225265
2024-07-28,0.01275044575899864,-0.0001731326669530764,17238.33984375,17018.363601984984,17472.96014822134
2024-07-29,-0.013657329512816063,6.984196712639111e-05,17002.91015625,17239.54380331468,17474.18049412961
2024-07-30,0.020095939458893097,4.857840086488937e-06,17344.599609375,17002.992753668543,17474.265380904093
2024-07-31,-0.0022853610211661657,-5.9919930566688695e-06,17304.9609375,17344.49568065457,17474.16067522726
2024-08-01,-0.02077156794362167,-7.185032234037593e-05,16945.509765625,17303.717570478555,17472.905151150117
2024-08-04,-0.014585007712565767,4.098731901614798e-05,16698.359375,16946.204316639654,17473.621318687685
2024-08-05,-0.0030553619133616428,-1.6106449021731677e-05,16647.33984375,16698.09042372598,17473.33988069669
2024-08-06,0.013847229251858328,-1.0568748666169035e-06,16877.859375,16647.322249594923,17473.321413562935
2024-08-07,0.0008277532603271354,1.4288337588568014e-06,16891.830078125,16877.88349065525,17473.34638003445
2024-08-08,0.011745346105625831,1.6793133490535835e-05,17090.23046875,16892.1137448824,17473.639812272737
2024-08-11,0.0012533430672083679,-9.569274028991633e-06,17111.650390625,17090.066927651427,17473.47260222509
2024-08-12,0.00364723184644955,3.7635525958069585e-06,17174.060546875,17111.714791221246,17473.53836455826
2024-08-13,-0.0035344682586463394,2.474430691214029e-07,17113.359375,17174.06479647725,17473.54268826422
2024-08-14,-0.0002465179341797352,-3.3351175747674915e-07,17109.140625,17113.35366749344,17473.536860632288
2024-08-15,0.018763042416106046,-3.922295610031936e-06,17430.16015625,17109.073517892833,17473.468324255366
2024-08-18,0.00799821430212222,2.2351306255013033e-06,17569.5703125,17430.19911493477,17473.50737973955
2024-08-19,-0.003329064589211228,-8.790426865545571e-07,17511.080078125,17569.55486809771,17473.49201978068
2024-08-20,-0.006856819337488718,-5.7790926947995636e-08,17391.009765625,17511.07906614345,17473.491009971378
2024-08-21,0.014374681961776048,7.790015263531905e-08,17641.0,17391.011120387313,17473.492371158995
2024-08-22,-0.0016382512683521533,9.161328106143313e-07,17612.099609375,17641.016161498916,17473.508379198673
2024-08-25,0.010596741076552618,-5.220601309799265e-07,17798.73046875,17612.09041479997,17473.4992569766
2024-08-26,0.0042665657114326905,2.0531844697980178e-07,17874.669921875,17798.734123157697,17473.50284460833
2024-08-27,-0.010194353457794403,1.3498283968471929e-08,17692.44921875,17874.670163152372,17473.503080470637
