date,actual_return,predicted_return,actual_price,predicted_price,predicted_price_cumulative
2024-07-25,0.012129909869211364,-0.0003084355270093072,8285.7001953125,8183.874925775562,8183.874925775562
2024-07-28,0.0008086456370084427,0.00016003562873043045,8292.400390625,8287.026202552728,8185.184637344759
2024-07-29,-0.0021706621909320933,-0.0002134264705007929,8274.400390625,8290.63057287765,8183.437702277212
2024-07-30,0.011311950710174656,-7.280404373641625e-06,8368.0,8274.340149644207,8183.378123541574
2024-07-31,-0.010109895957815529,0.0001903272290333533,8283.400390625,8369.592658252552,8184.935643223959
2024-08-01,-0.013122653763727898,-6.612721671831434e-05,8174.7001953125,8282.852632412205,8184.394396210854
2024-08-04,-0.020367719429695286,3.64159859100404e-05,8008.2001953125,8174.9978850796315,8184.692439001869
2024-08-05,0.0023101320582405993,-5.910878821258543e-05,8026.7001953125,8007.726840303191,8184.208651749907
2024-08-06,0.017466667948196735,-4.4821865668145745e-06,8166.89990234375,8026.664218144709,8184.171968599829
2024-08-07,-0.0026815441116726513,5.8354019035115414e-05,8145.0,8167.376473776109,8184.6495479266705
2024-08-08,0.0028361077539902357,-2.0368107782410925e-05,8168.10009765625,8144.834101762112,8184.482842102518
2024-08-11,0.00516640424660797,1.116766054042074e-05,8210.2998046875,8168.1913162254,8184.574243628596
2024-08-12,0.003032823553018593,-1.7895730083317787e-05,8235.2001953125,8210.152875378291,8184.427774697085
2024-08-13,0.005573563844704754,-1.312614233462011e-06,8281.099609375,8235.189385671509,8184.417031700696
2024-08-14,0.00800627747249183,1.7565596346331927e-05,8347.400390625,8281.245071828042,8184.560795866605
2024-08-15,-0.004312719926605091,-6.129639404590441e-06,8311.400390625,8347.34922407064,8184.510627460241
2024-08-18,0.005474408386259677,3.361622261582222e-06,8356.900390625,8311.428330413579,8184.5381406933675
2024-08-19,-0.010003779156119386,-5.390624340994593e-06,8273.2998046875,8356.85534171434,8184.494020922846
2024-08-20,0.001220865455858089,-3.9612258852547435e-07,8283.400390625,8273.296527446566,8184.490778859889
2024-08-21,0.0005552803387611771,5.292854248109264e-06,8288.0,8283.444233455948,8184.534098176678
2024-08-22,0.004802099986426223,-1.8470042553733706e-06,8327.7998046875,8287.984692028731,8184.518981307369
2024-08-26,0.002125434776006241,1.0129225632711313e-06,8345.5,8327.808240103826,8184.527271591316
2024-08-27,-0.0001916732820083089,-1.6242383062698629e-06,8343.900390625,8345.486444919216,8184.513977968602
2024-08-28,0.004278480935619777,-1.1934279564115723e-07,8379.599609375,8343.8993948406,8184.5130012058235
2024-08-29,-0.00035801233231280705,1.594751673166816e-06,8376.599609375,8379.612972755498,8184.526053471626
2024-09-01,-0.0015280430346908958,-5.565070900812641e-07,8363.7998046875,8376.594947737927,8184.521498724848
2024-09-02,-0.007807432771274936,3.05196367772222e-07,8298.5,8363.802357288821,8184.523996611081
2024-09-03,-0.003482604160390479,-4.893885216548694e-07,8269.599609375,8298.495938809352,8184.519991198981
2024-09-04,-0.003373732149120179,-3.595859044813901e-08,8241.7001953125,8269.599312011855,8184.519696895179
2024-09-05,-0.007304341808834436,4.805045577708986e-07,8181.5,8241.704155487007,8184.523629594196
2024-09-08,0.010914845039112553,-1.6767764457748851e-07,8270.7998046875,8181.498628145351,8184.522257232552
2024-09-09,-0.007834768851589735,9.195679082887685e-08,8206.0,8270.800565243708,8184.523009854954
2024-09-10,-0.0014744832287351128,-1.4745454881901187e-07,8193.900390625,8205.998789987972,8184.521803009806
2024-09-11,0.005748130576360033,-1.0834451302972883e-08,8241.0,8193.900301848586,8184.521714335003
2024-09-12,0.003895110954374559,1.4477777046030318e-07,8273.099609375,8241.001193113607,8184.5228992718085
2024-09-15,0.0006407249398996395,-5.0521883903835506e-08,8278.400390625,8273.099191402422,8184.522485774292
2024-09-16,0.003805082928300063,2.770691544558049e-08,8309.900390625,8278.40061999394,8184.522712542164
2024-09-17,-0.00676304079118728,-4.44285920088018e-08,8253.7001953125,8309.900021427826,8184.522348915344
2024-09-18,0.009086833568608954,-3.264459649006325e-09,8328.7001953125,8253.700168368629,8184.522322197301
2024-09-19,-0.011850612100078872,4.3622069076770153e-08,8230.0,8328.700558627635,8184.522679223099
2024-09-22,0.0036087722129405364,-1.522242746803645e-08,8259.7001953125,8229.999874719422,8184.5225546347965
2024-09-23,0.0027966643859675955,8.348194447505289e-09,8282.7998046875,8259.700264266083,8184.5226229607815
2024-09-24,-0.0017022757651369291,-1.338649644047386e-08,8268.7001953125,8282.79969380983,8184.522513398699
2024-09-25,0.0019592190948807264,-9.83593570159056e-10,8284.900390625,8268.70018717946,8184.5225053484555
2024-09-26,0.004333113540281319,1.3143488144168926e-08,8320.7998046875,8284.90049951749,8184.52261292163
2024-09-29,-0.010071123768690127,-4.586572787231352e-09,8237.0,8320.799766523545,8184.522575382721
2024-09-30,0.004819739627595077,2.5153413643186392e-09,8276.7001953125,8237.000020718866,8184.522595969588
2024-10-01,0.0017156831801812267,-4.033400088175549e-09,8290.900390625,8276.700161929257,8184.522562958135
2024-10-02,-0.0010132060728288428,-2.9636032179526604e-10,8282.5,8290.900388167907,8184.522560532568
2024-10-03,-0.00022944649864176103,3.960180804276964e-09,8280.599609375,8282.500032800197,8184.522592944757
2024-10-06,0.002777576635146106,-1.3819510703844454e-09,8303.599609375,8280.599597931616,8184.522581634147
2024-10-07,-0.013608497162022393,7.578815058769583e-10,8190.60009765625,8303.599615668145,8184.522587837046
2024-10-08,0.006483053381088011,-1.2152781232759478e-09,8243.7001953125,8190.6000877023935,8184.522577890574
2024-10-09,-0.0007278285063558876,-8.929444335057638e-11,8237.7001953125,8243.700194576384,8184.522577159742
2024-10-10,0.0019422896707390613,1.1932168866069042e-09,8253.7001953125,8237.700205141862,8184.522586925652
2024-10-13,0.0047251534556767005,-4.1638688614072903e-10,8292.7001953125,8253.700191875767,8184.522583517723
2024-10-14,-0.0052335656182931345,2.2835245549465834e-10,8249.2998046875,8292.700197206159,8184.52258538668
2024-10-15,0.009673524611404583,-3.661677206886121e-10,8329.099609375,8249.299801666872,8184.522582389771
2024-10-16,0.0067234158103917085,-2.6904740705531194e-11,8385.099609375,8329.099609150908,8184.5225821695685
2024-10-17,-0.003196122399969581,3.595205898039644e-10,8358.2998046875,8385.099612389617,8184.522585112073
2024-10-20,-0.004797579688695985,-1.2545888393990574e-10,8318.2001953125,8358.299803638878,8184.522584085252
2024-10-21,-0.0014065777497268561,6.880342576786666e-11,8306.5,8318.200195884821,8184.5225846483745
2024-10-22,-0.005766615376512352,-1.1032766665203259e-10,8258.599609375,8306.499999083564,8184.522583745395
2024-10-23,0.0013078223622489116,-8.10649627535972e-12,8269.400390625,8258.599609308052,8184.522583679048
2024-10-24,-0.002491182548235882,1.0832486192895449e-10,8248.7998046875,8269.400391520781,8184.522584565635
2024-10-28,0.004461231398365184,-3.780121825000732e-11,8285.599609375,8248.799804375685,8184.52258425625
2024-10-29,-0.00796562748763796,2.0730722545285062e-11,8219.599609375,8285.599609546767,8184.522584425922
2024-10-30,-0.007299566228300969,-3.324212742180299e-11,8159.60009765625,8219.599609101764,8184.522584153851
2024-10-31,-0.006066473774152037,-2.4425168256281126e-12,8110.10009765625,8159.60009763632,8184.522584133861
2024-11-01,0.008273646052240569,3.2638675070947676e-11,8177.2001953125,8110.100097920954,8184.522584400994
2024-11-04,0.0008560387214211485,-1.1389644609537096e-11,8184.2001953125,8177.200195219364,8184.522584307775
2024-11-05,-0.00144183825995714,6.2462421377033114e-12,8172.39990234375,8184.200195363621,8184.522584358899
2024-11-06,-0.0006974336913707635,-1.0015973953411151e-11,8166.7001953125,8172.3999022618955,8184.522584276922
2024-11-07,-0.0031836603987156487,-7.359392073749749e-13,8140.7001953125,8166.700195306489,8184.522584270899
2024-11-08,-0.008389977683747385,9.834151564260228e-12,8072.39990234375,8140.700195392556,8184.522584351386
2024-11-11,0.006540842080112963,-3.431741365413064e-12,8125.2001953125,8072.399902316048,8184.522584323299
2024-11-12,-0.012233592802100457,1.8820154848724268e-12,8025.7998046875,8125.200195327792,8184.522584338703
2024-11-13,0.0005606917826896929,-3.0178493982190936e-12,8030.2998046875,8025.799804663279,8184.522584314004
2024-11-14,0.005093258236899878,-2.2174116111254577e-13,8071.2001953125,8030.299804685719,8184.52258431219
2024-11-15,-0.0009416316622481435,2.9630656507538763e-12,8063.60009765625,8071.200195336414,8184.522584336441
