feature,importance
price_ma200_ratio,0.11277012
return_20d,0.109749466
volatility_60d,0.10918699
return_1d,0.10669546
ma_7_21_ratio,0.104400635
bb_position,0.0983805
return_5d,0.09737624
rsi_14,0.09383741
volatility_20d,0.088867076
ma_21_50_ratio,0.07873608
