feature,importance
bb_position,0.12264736
return_1d,0.106305905
rsi_14,0.10611079
return_5d,0.10592452
price_ma200_ratio,0.101295896
return_20d,0.10002062
volatility_20d,0.09892239
ma_7_21_ratio,0.09545287
volatility_60d,0.088645
ma_21_50_ratio,0.07467471
