date,actual_return,predicted_return,actual_price,predicted_price,predicted_price_cumulative
2024-07-26,0.011947828914082192,0.0003808000337133761,2380.0,2352.7955059058527,2352.7955059058527
2024-07-29,-0.0011344332654936728,-1.8503354464785427e-05,2377.300048828125,2379.955962016374,2352.7519712966237
2024-07-30,0.011651853196036122,3.539695379873353e-05,2405.0,2377.3841980081193,2352.8352515494516
2024-07-31,0.008939708939708968,1.9837354446279486e-05,2426.5,2405.047708837443,2352.88192557629
2024-08-01,0.0035029878425716365,-0.00014565694697643323,2435.0,2426.146563418162,2352.5392119784146
2024-08-02,-0.0038193219006673607,-4.8328914227380735e-06,2425.699951171875,2434.988231909386,2352.5278424118355
2024-08-05,-0.00989405140087729,-5.042920415298227e-07,2401.699951171875,2425.6987279106943,2352.526656050767
2024-08-06,-0.005246222996955541,2.0799040648827283e-06,2389.10009765625,2401.7049464773663,2352.531549080522
2024-08-07,0.0005859538263479624,1.1730297441436864e-06,2390.5,2389.1029001417264,2352.534308670003
2024-08-08,0.01326080366947302,-8.611033516930103e-06,2422.199951171875,2390.479415324378,2352.5140509182215
2024-08-09,0.004087254018639186,-2.8571340925471563e-07,2432.10009765625,2422.199259116869,2352.5133787734117
2024-08-12,0.012458288504120008,-2.9813017380416584e-08,2462.39990234375,2432.1000251480077,2352.513308637889
2024-08-13,0.0017462837064086134,1.22960914003771e-07,2466.699951171875,2462.4002051226926,2352.5135979050756
2024-08-14,-0.011067438021862053,6.934781841945383e-08,2439.39990234375,2466.700122232135,2352.5137610467614
2024-08-15,0.005616215405820579,-5.0907182168922e-07,2453.10009765625,2439.398660513998,2352.5125634482956
2024-08-16,0.018547958986048663,-1.689096267531452e-08,2498.60009765625,2453.100056221028,2352.5125237120938
2024-08-19,0.001280697609383985,-1.762502380006118e-09,2501.800048828125,2498.600093252461,2352.5125195657847
2024-08-20,0.0037972658943907778,7.269271030638205e-09,2511.300048828125,2501.8000670143874,2352.512536666836
2024-08-21,-0.0011548387002693339,4.099742520286032e-09,2508.39990234375,2511.3000591238088,2352.5125463115314
2024-08-22,-0.011760485229024398,-3.009558830870576e-08,2478.89990234375,2508.399826851979,2352.5124755112824
2024-08-23,0.011900440179980043,-9.98569233565468e-10,2508.39990234375,2478.899899868397,2352.512473162136
2024-08-26,0.003707562266860087,-1.0419658633975701e-10,2517.699951171875,2508.3999020823835,2352.512472917012
2024-08-27,-0.0006752000654739465,4.297487680943494e-10,2516.0,2517.699952253853,2352.5124739280013
2024-08-28,-0.0059618441971383,2.423708361087568e-10,2501.0,2516.000000609805,2352.5124744981817
2024-08-29,0.009876030056727325,-1.7792075637611088e-09,2525.699951171875,2500.9999955502017,2352.512470312574
2024-08-30,-0.012630123514453473,-5.90339658781443e-11,2493.800048828125,2525.699951022773,2352.512470173696
2024-09-03,-0.0015639371272799796,-6.1599511739784155e-12,2489.89990234375,2493.800048812763,2352.5124701592044
2024-09-04,0.0014056789980614326,2.5406124341796155e-11,2493.39990234375,2489.8999024070085,2352.512470218973
2024-09-05,0.007219058596689809,1.4328612566615376e-11,2511.39990234375,2493.3999023794768,2352.512470252681
2024-09-06,-0.007127459998324093,-1.0518417259279932e-10,2493.5,2511.3999020795904,2352.512470005234
2024-09-09,0.003328674083868055,-3.490002505743556e-12,2501.800048828125,2493.4999999912975,2352.512469997024
2024-09-10,0.004196978093800263,-3.641673858879564e-13,2512.300048828125,2501.800048827214,2352.512469996167
2024-09-11,-7.95888898574848e-05,1.501973250401725e-12,2512.10009765625,2512.300048831898,2352.5124699997004
2024-09-12,0.015564608095077315,8.470868087117611e-13,2551.199951171875,2512.100097658378,2352.512470001693
2024-09-13,0.011798407899162866,-6.218335841965486e-12,2581.300048828125,2551.1999511560107,2352.5124699870644
2024-09-16,-0.00034871826883653423,-2.063238901353509e-13,2580.39990234375,2581.3000488275925,2352.512469986579
2024-09-17,-0.006239286205599992,-2.152904807179117e-14,2564.300048828125,2580.3999023436945,2352.5124699865287
2024-09-18,0.0024957696922693895,8.879448177820082e-14,2570.699951171875,2564.300048828353,2352.5124699867374
2024-09-19,0.006729703643647111,5.007854446182244e-14,2588.0,2570.699951172004,2352.5124699868556
2024-09-20,0.012326082822160078,-3.676190028433966e-13,2619.89990234375,2587.9999999990487,2352.5124699859907
2024-09-23,0.002519217490082548,-1.2197569362923645e-14,2626.5,2619.899902343718,2352.512469985962
2024-09-24,0.009404131418951023,-1.2727661203029868e-15,2651.199951171875,2626.499999999997,2352.5124699859593
2024-09-25,0.003017501564325231,5.249401074320346e-15,2659.199951171875,2651.199951171889,2352.512469985972
2024-09-26,0.004023748258253246,2.9605709705580817e-15,2669.89990234375,2659.1999511718827,2352.512469985979
2024-09-27,-0.009588319582000904,-2.173310266382414e-14,2644.300048828125,2669.899902343692,2352.5124699859275
2024-09-30,-0.0031009911963315595,-7.211026229959681e-16,2636.10009765625,2644.300048828123,2352.512469985926
2024-10-01,0.011835647363927837,-7.524408843295143e-17,2667.300048828125,2636.1000976562495,2352.5124699859257
2024-10-02,-0.007573182919840549,3.1033698364170974e-16,2647.10009765625,2667.3000488281255,2352.512469985926
2024-10-03,0.003777718873892999,1.7502466507175018e-16,2657.10009765625,2647.1000976562505,2352.5124699859266
2024-10-04,-0.004252774985064489,-1.284829532050955e-15,2645.800048828125,2657.1000976562464,2352.5124699859234
2024-10-07,-0.00037795751059988003,-4.263054198914831e-17,2644.800048828125,2645.800048828125,2352.5124699859234
2024-10-08,-0.011267410873396222,-4.448321458115206e-18,2615.0,2644.800048828125,2352.5124699859234
2024-10-09,-0.0034416826003823564,1.8346672706524756e-17,2606.0,2615.0,2352.5124699859234
2024-10-10,0.005602493344685433,1.0347204538624434e-17,2620.60009765625,2606.0,2352.5124699859234
2024-10-11,0.014118903541632033,-7.59572598521837e-17,2657.60009765625,2620.6000976562495,2352.512469985923
2024-10-14,-0.003687555865447112,-2.520255858643158e-18,2647.800048828125,2657.60009765625,2352.512469985923
2024-10-15,0.005136284184919404,-2.6297831772339844e-19,2661.39990234375,2647.800048828125,2352.512469985923
2024-10-16,0.004734387209210489,1.0846287008736036e-18,2674.0,2661.39990234375,2352.512469985923
2024-10-17,0.006357516828721099,6.117117362872236e-19,2691.0,2674.0,2352.512469985923
2024-10-18,0.00843550768185608,-4.49048311883241e-18,2713.699951171875,2691.0,2352.512469985923
2024-10-21,0.003463959410956896,-1.4899387379691294e-19,2723.10009765625,2713.699951171875,2352.512469985923
2024-10-22,0.007748467834063577,-1.554689701358305e-20,2744.199951171875,2723.10009765625,2352.512469985923
2024-10-23,-0.010859284803718228,6.412167686080663e-20,2714.39990234375,2744.199951171875,2352.512469985923
2024-10-24,0.007552313858506743,3.6163511305370897e-20,2734.89990234375,2714.39990234375,2352.512469985923
2024-10-25,0.0021938645706405246,-2.654708540007863e-19,2740.89990234375,2734.89990234375,2352.512469985923
2024-10-28,0.0007296873549778038,-8.808301884461009e-21,2742.89990234375,2740.89990234375,2352.512469985923
2024-10-29,0.009296730069591863,-9.191100195765373e-22,2768.39990234375,2742.89990234375,2352.512469985923
2024-10-30,0.007260547018237196,3.790780605501279e-21,2788.5,2768.39990234375,2352.512469985923
2024-10-31,-0.018002492799668257,2.137934377181254e-21,2738.300048828125,2788.5,2352.512469985923
2024-11-01,0.0001095748540242969,-1.5694252145909693e-20,2738.60009765625,2738.300048828125,2352.512469985923
2024-11-04,-0.0009128751591513939,-5.20734041679819e-22,2736.10009765625,2738.60009765625,2352.512469985923
2024-11-05,0.0015350137136695974,-5.433645230607291e-23,2740.300048828125,2736.10009765625,2352.512469985923
2024-11-06,-0.026529923685898793,2.241054554801902e-22,2667.60009765625,2740.300048828125,2352.512469985923
2024-11-07,0.01154588527514333,1.263915819052272e-22,2698.39990234375,2667.60009765625,2352.512469985923
2024-11-08,-0.004039394729551615,-9.278214414402775e-22,2687.5,2698.39990234375,2352.512469985923
2024-11-11,-0.028390715843023218,-3.078504185268308e-23,2611.199951171875,2687.5,2352.512469985923
2024-11-12,-0.004289197066983941,-3.2122923113931694e-24,2600.0,2611.199951171875,2352.512469985923
