date,predicted_return,previous_price,predicted_price
2026-06-17,0.0003808000337133761,4364.39990234375,4366.061865973701
2026-06-18,-1.8503354464785427e-05,4366.061865973701,4365.98107918338
2026-06-19,3.539695379873353e-05,4365.98107918338,4366.135621613926
2026-06-22,1.9837354446279486e-05,4366.135621613926,4366.222234193812
2026-06-23,-0.00014565694697643323,4366.222234193812,4365.586263593359
2026-06-24,-4.8328914227380735e-06,4365.586263593359,4365.56516518895
2026-06-25,-5.042920415298227e-07,4365.56516518895,4365.56296366918
2026-06-26,2.0799040648827283e-06,4365.56296366918,4365.572043621334
2026-06-29,1.1730297441436864e-06,4365.572043621334,4365.577164567192
2026-06-30,-8.611033516930103e-06,4365.577164567192,4365.539572435908
2026-07-01,-2.8571340925471563e-07,4365.539572435908,4365.538325142713
2026-07-02,-2.9813017380416584e-08,4365.538325142713,4365.538194992843
2026-07-03,1.22960914003771e-07,4365.538194992843,4365.538731783409
2026-07-06,6.934781841945383e-08,4365.538731783409,4365.539034523997
2026-07-07,-5.0907182168922e-07,4365.539034523997,4365.536812151087
2026-07-08,-1.689096267531452e-08,4365.536812151087,4365.536738412969
2026-07-09,-1.762502380006118e-09,4365.536738412969,4365.5367307187
2026-07-10,7.269271030638205e-09,4365.5367307187,4365.536762452969
2026-07-13,4.099742520286032e-09,4365.536762452969,4365.536780350546
2026-07-14,-3.009558830870576e-08,4365.536780350546,4365.536648967148
2026-07-15,-9.98569233565468e-10,4365.536648967148,4365.536644607857
2026-07-16,-1.0419658633975701e-10,4365.536644607857,4365.536644152983
2026-07-17,4.297487680943494e-10,4365.536644152983,4365.536646029067
2026-07-20,2.423708361087568e-10,4365.536646029067,4365.536647087146
2026-07-21,-1.7792075637611088e-09,4365.536647087146,4365.53663931995
2026-07-22,-5.90339658781443e-11,4365.53663931995,4365.536639062235
2026-07-23,-6.1599511739784155e-12,4365.536639062235,4365.536639035343
2026-07-24,2.5406124341796155e-11,4365.536639035343,4365.536639146254
2026-07-27,1.4328612566615376e-11,4365.536639146254,4365.536639208805
2026-07-28,-1.0518417259279932e-10,4365.536639208805,4365.53663874962
