date,predicted_return,previous_price,predicted_price
2026-06-16,-0.020471520721912384,4328.0,4239.399258315563
2026-06-17,-0.015192696824669838,4239.399258315563,4174.991350665245
2026-06-18,-0.01162518747150898,4174.991350665245,4126.456293521833
2026-06-19,-0.018777895718812943,4126.456293521833,4048.9701275538405
2026-06-22,-0.015622418373823166,4048.9701275538405,3985.7154222380823
2026-06-23,-0.018665123730897903,3985.7154222380823,3911.3215507258606
2026-06-24,-0.0180271677672863,3911.3215507258606,3840.811500939123
2026-06-25,-0.01821698062121868,3840.811500939123,3770.843512256761
2026-06-26,-0.018079310655593872,3770.843512256761,3702.6692609650404
2026-06-29,-0.01821698062121868,3702.6692609650404,3635.217806791258
2026-06-30,-0.01821698062121868,3635.217806791258,3568.995114451033
2026-07-01,-0.017343198880553246,3568.995114451033,3507.097322377386
2026-07-02,-0.018655460327863693,3507.097322377386,3441.6708074138173
2026-07-03,-0.01754796877503395,3441.6708074138173,3381.2764755513736
2026-07-06,-0.018203306943178177,3381.2764755513736,3319.7260620071643
2026-07-07,-0.012337110005319118,3319.7260620071643,3278.770236392657
2026-07-08,-0.01580844447016716,3278.770236392657,3226.9379791802066
2026-07-09,-0.017102675512433052,3226.9379791802066,3171.748706023541
2026-07-10,-0.017477592453360558,3171.748706023541,3116.314174775188
2026-07-13,-0.015556546859443188,3116.314174775188,3067.835087286551
2026-07-14,-0.012066722847521305,3067.835087286551,3030.8163715463625
2026-07-15,-0.014249209314584732,3030.8163715463625,2987.6296346741283
2026-07-16,-0.012475229799747467,2987.6296346741283,2950.3582684250327
2026-07-17,-0.014373814687132835,2950.3582684250327,2907.9503654140412
2026-07-20,-0.012220801785588264,2907.9503654140412,2872.4128803959875
2026-07-21,-0.014451410621404648,2872.4128803959875,2830.9024623871733
2026-07-22,-0.012220801785588264,2830.9024623871733,2796.306564520006
2026-07-23,-0.013994783163070679,2796.306564520006,2757.1728604920772
2026-07-24,-0.012475229799747467,2757.1728604920772,2722.7764954598115
2026-07-27,-0.014628240838646889,2722.7764954598115,2682.9470651344186
