date,actual_return,predicted_return,actual_price,predicted_price,predicted_price_cumulative
2024-09-16,-0.004863999147887488,-0.00017659551,36203.21875,36575.301543904476,36575.301543904476
2024-09-17,-0.02086258658225748,-0.0008787752,36380.171875,36196.824951579794,36543.16007592864
2024-09-18,-0.015072192381303307,0.0062887333,37155.328125,36348.202752473764,36772.97026480405
2024-09-19,-0.005711025800925862,-0.00023630512,37723.91015625,37388.989321220666,36764.280623757986
2024-09-23,0.0018570805114130895,0.0007294412,37940.58984375,37714.994773401646,36791.09800389141
2024-09-24,-0.027112399135330256,0.004046121,37870.26171875,37968.265289932955,36939.95924352901
2024-09-25,-0.02269494615091827,0.0024265337,38925.62890625,38023.487921833526,37029.595300506524
2024-09-26,0.05037000104559364,-0.0014794903,39829.55859375,39020.082142875995,36974.81037304343
2024-09-29,-0.01894904690333532,0.04067026,37919.55078125,39770.63050321257,38478.58555346535
2024-09-30,0.022301894929075194,-0.0028332036,38651.96875,39461.74936549505,38369.56788460455
2024-10-01,-0.019280342013188956,-0.0064548803,37808.76171875,38542.46047219075,38121.89691485362
2024-10-02,-0.00216283568464537,-0.0001568615,38552.05859375,37564.71050963807,38115.91705703167
2024-10-03,-0.017723586456535045,-0.0016686833,38635.62109375,38546.010568963364,38052.31366455715
2024-10-06,0.010149568469534076,0.00029264356,39332.73828125,38571.150156012736,38063.44942892066
2024-10-07,-0.008666994591233657,-0.0018211363,38937.5390625,39344.24935346609,37994.13069813361
2024-10-08,-0.0026136962843257283,0.0024451376,39277.9609375,38866.62756153848,38087.03157545099
2024-10-09,-0.0056787175568604464,-0.00075772556,39380.890625,39373.99954805244,38058.17205811769
2024-10-10,-0.0076358254655601865,0.0024891016,39605.80078125,39351.049603550695,38152.90271536045
2024-10-14,0.018638192801967213,0.000522786,39910.55078125,39704.38318256289,38172.848518556806
2024-10-15,0.006915989083715823,-0.0043223435,39180.30078125,39931.413332602475,38007.852354660194
2024-10-16,-0.001810041718239952,0.00027074746,38911.19140625,39010.94980718172,38018.14288426762
2024-10-17,0.0006969250463630949,0.0043155574,38981.75,38921.72561117215,38182.21236303772
2024-10-20,0.014126866001007654,0.004716118,38954.6015625,39149.9802133441,38362.28417693933
2024-10-21,0.008059380549806816,0.0018179591,38411.9609375,39138.31761491485,38432.025241627714
2024-10-22,-0.0010075084882436025,-0.0025689995,38104.859375,38481.79164174758,38333.29338652996
2024-10-23,0.006049682442671234,-0.0019353768,38143.2890625,38006.96723700035,38259.10402039041
2024-10-24,-0.01791477419443621,-0.0008734858,37913.921875,38069.467959173955,38225.685235813675
2024-10-27,-0.007663759312613205,0.0029479696,38605.53125,37880.803834135644,38338.37339363576
2024-10-28,-0.009514657963610618,0.00093976187,38903.6796875,38719.3375194408,38374.40233512965
2024-10-29,0.005018790980329424,0.0019198796,39277.390625,38940.23851906974,38448.07656649289
2024-10-30,0.027003389538214018,-0.0016053839,39081.25,39352.79793644138,38386.35264202661
2024-10-31,-0.010948087704097609,-0.0015579181,38053.671875,39018.5092933476,38326.5498465699
2024-11-04,-0.025475084129378156,0.0047157374,38474.8984375,37994.38630131073,38507.287791901705
2024-11-05,0.002520522204668918,0.002701093,39480.671875,38656.33378796466,38611.29955652268
2024-11-06,-0.003011641010097321,0.0005943437,39381.41015625,39587.31091014668,38634.2479391262
2024-11-07,-0.0008334543744250578,0.0017170224,39500.37109375,39404.817581062205,38700.5838077546
2024-11-10,0.003993044240144572,0.0045527937,39533.3203125,39568.19210110465,38876.77958147795
2024-11-11,0.01690086852834405,0.0038332625,39376.08984375,39713.30924145877,39025.8044820942
2024-11-12,0.0048256795976215905,-0.000522029,38721.66015625,39527.029969336465,39005.43188024779
2024-11-13,-0.0027744012308208443,0.0032523442,38535.69921875,38701.44677283475,39132.29097062509
2024-11-14,0.011042626642157272,0.0014127258,38642.91015625,38661.03222772898,39187.57416669731
2024-11-17,-0.005039203408061743,0.0021169854,38220.8515625,38697.502900154795,39270.53368853031
2024-11-18,0.0016189323520534593,0.0003514958,38414.4296875,38301.766548979096,39284.33711649937
2024-11-19,0.008577460014176141,0.0009931796,38352.33984375,38427.93421091419,39323.35351962802
2024-11-20,-0.0067307670723602,-0.0006992465,38026.171875,38390.42880239943,39295.856803220704
2024-11-21,-0.01279750548867431,0.004554402,38283.8515625,37999.583135708235,39474.82593530479
2024-11-24,0.008796124681338169,0.0044727866,38780.140625,38458.2111879522,39651.3884062324
2024-11-25,0.008051173504632914,-0.0012714145,38442.0,38953.59382203221,39600.97505788778
2024-11-26,-0.005582662302560215,0.0017953493,38134.96875,38393.12381565571,39672.07264047545
2024-11-27,0.0036910392693945138,0.0010679315,38349.05859375,38203.432150527835,39714.439697748225
2024-11-28,-0.007919095541250143,-0.0038756386,38208.03125,38390.010664329864,39560.5208826307
2024-12-01,-0.01874805677075808,-0.00041665527,38513.01953125,38059.95169926062,39544.03778319797
2024-12-02,-0.0007009618134939943,-0.0024914828,39248.859375,38496.97360285977,39445.51449454943
2024-12-03,-0.003025996120680552,0.0014471482,39276.390625,39151.07185638696,39502.597998089856
2024-12-04,0.0077876838400614545,0.00501442,39395.6015625,39333.231447957456,39700.68061638584
2024-12-05,-0.0017703585245336662,0.005541111,39091.171875,39593.14763738215,39920.66648957152
2024-12-08,-0.005260118474712527,0.006908011,39160.5,39307.779427897185,40196.43889907898
2024-12-09,-0.00011816307317646935,0.0035175928,39367.578125,39431.02304917574,40337.83360279306
2024-12-10,-0.011967890618720167,0.004259891,39372.23046875,39506.05860892683,40509.66837214387
2024-12-11,0.009594501739978778,0.0007779843,39849.140625,39539.95396420965,40541.18425931175
2024-12-12,0.0003282805258071342,0.0024960192,39470.44140625,39880.14165541157,40642.375835178864
2024-12-15,0.0023576616013840646,0.0021964416,39457.48828125,39568.95979001094,40731.644441704164
2024-12-16,0.007240439152025102,0.0024035338,39364.6796875,39544.15393800521,40829.54432522507
2024-12-17,0.006908221953576987,0.0041699167,39081.7109375,39459.29260442965,40999.80012535248
2024-12-18,0.002885638483092867,0.0018776552,38813.578125,39244.67936427519,41076.783611565595
2024-12-19,-0.011732014483751718,0.0027169029,38701.8984375,38886.45704234205,41188.38524310789
2024-12-22,0.003188993893390446,-0.002413106,39161.33984375,38807.04758349527,41088.993306920995
2024-12-23,-0.002391441283607798,0.0025332454,39036.8515625,39066.839847828494,41193.081808812094
2024-12-24,-0.01106015614117406,0.0019058207,39130.4296875,39135.73961349763,41271.58843606684
2024-12-25,-0.017703103876201443,-0.0029099737,39568.05859375,39205.00441782642,41151.4891979472
2024-12-26,0.00969107809829084,-0.005457329,40281.16015625,39452.91719075409,40926.91197851564
2024-12-29,0.014946129754670912,-0.0010532005,39894.5390625,40061.332102373475,40883.80773629682
2025-01-05,-0.0193659200931654,0.003842427,39307.05078125,39852.5215725163,41040.900780128286
2025-01-06,0.0025572656426857687,-0.0030812258,40083.30078125,39458.087063769344,40914.4444981963
2025-01-07,0.009492940212565415,0.0005985948,39981.05859375,39959.796014393214,40938.93567106469
2025-01-08,0.010581454202649665,-0.0014211105,39605.08984375,40004.989250087645,40880.75692088185
2025-01-09,0.01861236310235892,-0.0022314591,39190.3984375,39548.80729055079,40789.53318247343
2025-01-13,0.0007731299886646337,-0.0050938,38474.30078125,39102.94589849096,40581.759462264796
2025-01-14,-0.003319025222930816,-0.0023834924,38444.578125,38278.31988997664,40485.03314614108
2025-01-15,0.0031504817254384143,0.0043136394,38572.6015625,38352.94660579786,40659.67097881914
2025-01-16,-0.01159408939014206,-0.001611438,38451.4609375,38738.98787922133,40594.150440026606
2025-01-19,-0.0032151412202964247,0.0015251156,38902.5,38389.49980840413,40656.06121095359
2025-01-20,-0.015594653498124056,0.0039814757,39027.98046875,38961.83267891407,40817.932331467506
2025-01-21,-0.007823571717442634,-0.005372989,39646.25,39183.369243583176,40598.618030397214
2025-01-22,0.0006734107520924848,-0.00010216262,39958.87109375,39433.23065519333,40594.47036908583
2025-01-23,0.00925495453825187,0.002343659,39931.98046875,39954.78880113037,40689.609967204095
2025-01-26,0.014069034038660666,-0.00035214558,39565.80078125,40025.567239763215,40675.281300897776
2025-01-27,-0.010095455147299592,0.002039257,39016.87109375,39551.867912351154,40758.228651851416
2025-01-28,-0.0025101882483014037,0.0026823452,39414.78125,39096.43871853361,40867.55629168476
2025-01-29,-0.0014787933180772095,0.0023377144,39513.96875,39520.50463019684,40963.09296751605
2025-01-30,0.02732076798805161,0.0044027776,39572.48828125,39606.340324305,41143.44435753368
2025-02-02,-0.007172498281630912,0.0071018254,38520.08984375,39746.71631880896,41435.63791729704
2025-02-03,-0.0008526426136815646,0.0036928393,38798.37109375,38793.65082458872,41588.65306919784
2025-02-04,-0.006016679078719056,0.0027816333,38831.48046875,38941.648254840635,41704.337450964405
2025-02-05,0.0072063211385655634,0.0021142224,39066.53125,38939.495262772776,41792.50969475438
2025-02-06,-0.0003647401113449078,-0.002199949,38787.01953125,39149.12480207905,41700.568304920474
2025-02-09,-0.004171250343493749,-7.284942e-05,38801.171875,38701.69011164433,41697.5304427197
2025-02-11,-0.012614064985860374,-0.0011260572,38963.69921875,38798.34571885876,41650.57663686119
2025-02-12,0.007970462532679745,-0.002699759,39461.46875,38919.82410826441,41538.13011396878
2025-02-13,-0.0006335874330715141,-0.0032311638,39149.4296875,39354.93332925066,41403.91361016464
