date,predicted_return,previous_price,predicted_price
2026-06-17,0.0003026954816641621,66916.25,66936.5052465249
2026-06-18,-0.00034722564596773335,66936.5052465249,66913.26317525185
2026-06-19,-0.0012978311736992292,66913.26317525185,66826.42105636907
2026-06-22,0.0008278414084209925,66826.42105636907,66881.74273489612
2026-06-23,0.0007078017950820282,66881.74273489612,66929.0817524621
2026-06-24,0.0004727807028035786,66929.0817524621,66960.72453077103
2026-06-25,-0.00042510652098018967,66960.72453077103,66932.25909012344
2026-06-26,-0.0003620473468342402,66932.25909012344,66908.02644330224
2026-06-29,0.0001958249493223358,66908.02644330224,66921.12870418976
2026-06-30,0.000453949510040498,66921.12870418976,66951.50751777638
2026-07-01,9.986178410713184e-05,66951.50751777638,66958.19341476576
2026-07-02,-0.00010076376566258962,66958.19341476576,66951.44645505532
2026-07-03,-0.00023231259424714193,66951.44645505532,66935.89279084075
2026-07-06,0.00014405396900439468,66935.89279084075,66945.53517186611
2026-07-07,0.00015686805223890196,66945.53517186611,66956.0367875746
2026-07-08,8.086084788696253e-05,66956.0367875746,66961.4509094804
2026-07-09,-7.399759444477229e-05,66961.4509094804,66956.49592319256
2026-07-10,-8.025280406656691e-05,66956.49592319256,66951.12247664426
2026-07-13,4.557166726549473e-05,66951.12247664426,66954.17355092082
2026-07-14,8.481342653884118e-05,66954.17355092082,66959.85216380075
2026-07-15,2.4109895259784528e-05,66959.85216380075,66961.46655882303
2026-07-16,-2.3434451842263183e-05,66961.46655882303,66959.89735355966
2026-07-17,-4.340097327092263e-05,66959.89735355966,66956.99122884439
2026-07-20,2.6419274745546825e-05,66956.99122884439,66958.76018399179
2026-07-21,3.2908404998551626e-05,66958.76018399179,66960.96368999012
2026-07-22,1.4656779194626292e-05,66960.96368999012,66961.94512204958
2026-07-23,-1.357400991552158e-05,66961.94512204958,66961.03617994253
2026-07-24,-1.683703584747301e-05,66961.03617994253,66959.90875457598
2026-07-27,9.769600692487726e-06,66959.90875457598,66960.56292614691
2026-07-28,1.6269534411707466e-05,66960.56292614691,66961.65234332967
