date,predicted_return,previous_price,predicted_price
2026-06-17,0.0032654147787118722,7511.35009765625,7535.877771273215
2026-06-18,-0.001456685301412429,7535.877771273215,7524.900368890561
2026-06-19,0.0007294182095892165,7524.900368890561,7530.389168244974
2026-06-22,-0.00021940551298785943,7530.389168244974,7528.736959346517
2026-06-23,-0.0003289992112414285,7528.736959346517,7526.260010825248
2026-06-24,-1.4267136025561357e-05,7526.260010825248,7526.15263264991
2026-06-25,-2.9669873245691296e-05,7526.15263264991,7525.9293326552715
2026-06-26,4.5912610148023824e-05,7525.9293326552715,7526.274867714723
2026-06-29,-1.8519695782249717e-06,7526.274867714723,7526.26092928263
2026-06-30,-9.502383509839669e-05,7526.26092928263,7525.545755105179
2026-07-01,4.455103314449529e-06,7525.545755105179,7525.579282189015
2026-07-02,-9.907361524926574e-06,7525.579282189015,7525.5047235543825
2026-07-03,1.1786714888109742e-05,7525.5047235543825,7525.593424532948
2026-07-06,-9.170782283528137e-07,7525.593424532948,7525.586522975063
2026-07-07,-2.1650002810571367e-05,7525.586522975063,7525.42359400569
2026-07-08,9.460174035432205e-07,7525.42359400569,7525.430713187378
2026-07-09,-2.246501384490608e-06,7525.430713187378,7525.413807296863
2026-07-10,2.6973210359326995e-06,7525.413807296863,7525.434105753829
2026-07-13,-2.058689317461391e-07,7525.434105753829,7525.4325565007475
2026-07-14,-4.979329372009628e-06,7525.4325565007475,7525.395084893382
2026-07-15,2.182807563047874e-07,7525.395084893382,7525.396727542313
2026-07-16,-5.167874132206802e-07,7525.396727542313,7525.392838512004
2026-07-17,6.20241449598489e-07,7525.392838512004,7525.397506072567
2026-07-20,-4.737960978818507e-08,7525.397506072567,7525.3971495221695
2026-07-21,-1.1447304491162678e-06,7525.3971495221695,7525.388534970911
2026-07-22,5.017486624681836e-08,7525.388534970911,7525.388912556274
2026-07-23,-1.1880651269196455e-07,7525.388912556274,7525.38801849106
2026-07-24,1.425925686642553e-07,7525.38801849106,7525.3890915554675
2026-07-27,-1.089208976455209e-08,7525.3890915554675,7525.389009588253
2026-07-28,-2.631743464086426e-07,7525.389009588253,7525.387029098919
