feature,importance
bb_position,0.11274662
volatility_20d,0.1097786
return_20d,0.10884729
return_1d,0.10379602
ma_7_21_ratio,0.10348579
price_ma200_ratio,0.09513085
rsi_14,0.09317521
ma_21_50_ratio,0.09297036
return_5d,0.09226899
volatility_60d,0.08780028
