feature,importance
ma_7_21_ratio,0.11437801
return_1d,0.10641929
rsi_14,0.105602466
return_20d,0.10260697
return_5d,0.10077071
price_ma200_ratio,0.09985714
volatility_20d,0.09565453
bb_position,0.094331086
volatility_60d,0.094157375
ma_21_50_ratio,0.086222425
