date,actual_return,predicted_return,actual_price,predicted_price,predicted_price_cumulative
2024-07-22,0.008183209152393456,-0.0008889292895530075,18557.69921875,18390.707728564357,18390.707728564357
2024-07-23,-0.00917345837128336,3.16501565429461e-05,18387.4609375,18558.28657283535,18391.289797342903
2024-07-24,-0.0048261276897682,-0.00018948698939328144,18298.720703125,18383.976752884366,18387.804887208145
2024-07-25,0.006493900860769175,-0.00038659272851041936,18417.55078125,18291.646550760128,18380.696295545484
2024-07-28,-0.0052602466270178505,0.0005819043490407247,18320.669921875,18428.26803414829,18391.392102658257
2024-07-29,0.004940308733848875,-0.00011111097680506726,18411.1796875,18318.634294344258,18389.348617116928
2024-07-30,0.005294104168195979,-1.9694647588844435e-05,18508.650390625,18410.81708580436,18388.986445376526
2024-07-31,-0.022994632260738723,-3.900760840319753e-05,18083.05078125,18507.92841243849,18388.26913499433
2024-08-01,-0.023327373418781105,-9.598168657314673e-05,17661.220703125,18081.31513953763,18386.504197909595
2024-08-04,-0.018244531821517085,0.0001421638935139303,17339.0,17663.731491024366,18389.11809493448
2024-08-05,0.000883575321529495,-2.7178693880268608e-05,17354.3203125,17338.52874862681,18388.61830272305
2024-08-06,0.015029691363776854,-4.762577557187885e-06,17615.150390625,17354.23766120356,18388.530725502213
2024-08-07,0.00370419772485886,-9.506024606559466e-06,17680.400390625,17614.98294057194,18388.355923676656
2024-08-08,0.0024026870326152583,-2.3367305447954458e-05,17722.880859375,17679.98724730863,18387.926237347103
2024-08-11,0.00020255418848003082,3.46133334742443e-05,17726.470703125,17723.49430736031,18388.562704769858
2024-08-12,0.004827812572409718,-6.617288914958874e-06,17812.05078125,17726.353401946915,18388.44102233771
2024-08-13,0.004129161152090388,-1.1596260585634262e-06,17885.599609375,17812.03012593176,18388.419698622325
2024-08-14,0.0166413556995868,-2.3145062919453507e-06,18183.240234375,17885.558213042168,18388.377138509233
2024-08-15,0.007653210014072265,-5.689448462326667e-06,18322.400390625,18183.136781766807,18388.272518785197
2024-08-18,0.005418998623717641,8.427617048072181e-06,18421.689453125,18322.554804798892,18388.42748810416
2024-08-19,-0.003483389622775057,-1.6111704048706357e-06,18357.51953125,18421.659772644147,18388.397861213998
2024-08-20,0.004980503348742671,-2.8234443088646276e-07,18448.94921875,18357.514348106597,18388.39266935227
2024-08-21,0.002408885499280089,-5.635334582880861e-07,18493.390625,18448.938822149845,18388.382306877756
2024-08-22,0.0075545359533009115,-1.38526065061111e-06,18633.099609375,18493.365006833672,18388.356834175316
2024-08-25,-0.000862984606002426,2.05194692846286e-06,18617.01953125,18633.13784350651,18388.39456610764
2024-08-26,0.0034802034512690927,-3.922859978297375e-07,18681.810546875,18617.012228053918,18388.38735259793
2024-08-27,0.005378414226655748,-6.87449115352095e-08,18782.2890625,18681.809262595587,18388.386088489868
2024-08-28,0.006936388294657592,-1.3720850657586266e-07,18912.5703125,18782.286485410168,18388.383565446875
2024-08-29,-0.00029876376037929475,-3.3728173955824937e-07,18906.919921875,18912.563933635385,18388.377363380878
2024-09-01,0.0012656576321727897,4.996057811946937e-07,18930.849609375,18906.929367881497,18388.386550320516
2024-09-02,-0.0097058630841379,-9.551336327417638e-08,18747.109375,18930.847801225882,18388.38479398387
2024-09-03,-0.008281797610464992,-1.673793544759708e-08,18591.849609375,18747.109061212093,18388.384486200273
2024-09-04,-0.0008256095922408724,-3.340737626467005e-08,18576.5,18591.848988270085,18388.383871892594
2024-09-05,-0.014782096163163172,-8.212098696948196e-08,18301.900390625,18576.498474479486,18388.38236182036
2024-09-08,0.0077401883534764515,1.2164346608596481e-07,18443.560546875,18301.902616931602,18388.384598646928
2024-09-09,-0.009631579788973998,-2.325548863428979e-08,18265.919921875,18443.560117960988,18388.38417101606
2024-09-10,0.00352293285255989,-4.075334112628017e-09,18330.26953125,18265.919847435274,18388.38409607725
2024-09-11,0.010262865662137965,-8.133991227953486e-09,18518.390625,18330.26938215175,18388.383946506296
2024-09-12,0.00977459484954557,-1.999472758197606e-08,18699.400390625,18518.390254729824,18388.38357883557
2024-09-15,-0.003545087769671773,2.961761732625158e-08,18633.109375,18699.400944456684,18388.384123455675
2024-09-16,0.004989543143547381,-5.662220793829041e-09,18726.080078125,18633.10926949522,18388.384019336583
2024-09-17,-0.000779118944762125,-9.922578672588668e-10,18711.490234375,18726.0800595439,18388.384001090566
2024-09-18,0.015546096080877758,-1.9804552375576346e-09,19002.380859375,18711.49019731773,18388.383964673194
2024-09-19,-0.014859774458772068,-4.8682942793418306e-09,18720.009765625,19002.380766865816,18388.38387515313
2024-09-22,0.006772394804398063,7.211264890005376e-09,18846.7890625,18720.00990061995,18388.38400775664
2024-09-23,0.00795052124678075,-1.3786312909717581e-09,18996.630859375,18846.789036517228,18388.383982405838
