date,predicted_return,previous_price,predicted_price
2026-06-12,-0.002140473574399948,24635.30078125,24582.56957093034
2026-06-15,-0.003173465607687831,24582.56957093034,24504.557631848398
2026-06-16,-0.005765977315604687,24504.557631848398,24363.264908414232
2026-06-17,-0.004899685271084309,24363.264908414232,24243.89257818695
2026-06-18,-0.008547288365662098,24243.89257818695,24036.673037215052
2026-06-19,0.0012854743981733918,24036.673037215052,24067.571565021655
2026-06-22,0.00531592033803463,24067.571565021655,24195.512858191258
2026-06-23,-0.0018485852051526308,24195.512858191258,24150.785391090525
2026-06-24,-0.006140329875051975,24150.785391090525,24002.491602047645
2026-06-25,-0.0036259086336940527,24002.491602047645,23915.46076051761
2026-06-26,-0.005869528744369745,23915.46076051761,23775.088276148905
2026-06-29,-0.0029415178578346968,23775.088276148905,23705.153429413018
2026-06-30,0.0025120312348008156,23705.153429413018,23764.701515253448
2026-07-01,0.0002643225889187306,23764.701515253448,23770.98306268284
2026-07-02,-0.005190057680010796,23770.98306268284,23647.610289476957
2026-07-03,-0.007420285139232874,23647.610289476957,23472.138278267583
2026-07-06,-0.0026660338044166565,23472.138278267583,23409.56076415578
2026-07-07,-0.008225603960454464,23409.56076415578,23217.002988421642
2026-07-08,-0.006716370582580566,23217.002988421642,23061.06899253452
2026-07-09,-0.007996524684131145,23061.06899253452,22876.66058509327
2026-07-10,-0.002495519584044814,22876.66058509327,22819.571430585624
2026-07-13,0.01615253835916519,22819.571430585624,23188.165433457867
2026-07-14,0.0024722684174776077,23188.165433457867,23245.492802518253
2026-07-15,-0.004654118791222572,23245.492802518253,23137.305517654822
2026-07-16,-0.0038607835303992033,23137.305517654822,23047.977389574447
2026-07-17,-0.006945740897208452,23047.977389574447,22887.892110421744
2026-07-20,-0.0020969577599316835,22887.892110421744,22839.897167452316
2026-07-21,-0.0011111394269391894,22839.897167452316,22814.51885720232
2026-07-22,0.0015875609824433923,22814.51885720232,22850.738297173237
2026-07-23,-0.0011571814538910985,22850.738297173237,22824.295846608027
